Selected Geographies,Households,"Household income (past 12 months, use ADJINC to adjust HINCP to constant dollars)",Property taxes (yearly real estate taxes),Gross rent as a percentage of household income past 12 months
"Tarrant County (Southeast)--Arlington (Southeast) & Grand Prairie (Southwest) Cities PUMA, Texas",34556,85483.5534,2827.93648,8.04123741
"Tarrant County (Southeast)--Mansfield (North) & Arlington (Southwest) Cities PUMA, Texas",40793,110570.058,4356.49202,6.24467433
"Tarrant County (South Central)--Fort Worth City (Southeast)--South of I-20 PUMA, Texas",46331,74801.6708,2321.1723,11.4956077
"Tarrant County (East)--Arlington City (West)--South of I-30 & East of Loop I-820 PUMA, Texas",48973,68777.4862,2058.27552,16.3783105
"Fort Worth City (East Central)--South of I-30, East of I-35W & Inside Loop I-820 PUMA; Texas",42873,32693.3117,711.177384,16.6821543
"Fort Worth (Northeast) & Hurst (South) Cities--North of I-30 PUMA, Texas",59786,66053.0629,1925.75488,12.7453752
"Tarrant County (North)--North Richland Hills (North) & Keller Cities PUMA, Texas",45214,119408.317,4452.82634,8.68379263
"Fort Worth City (North)--East of I-35W & West of US-377 PUMA, Texas",42730,94798.1304,4193.19043,5.48717529
"Fort Worth City (North Central) & Haltom City (North)--Inside Loop I-820 PUMA, Texas",40247,51692.4417,1024.52975,18.348821
"Fort Worth City (South Central) & Edgecliff Village Town PUMA, Texas",50841,69250.1105,2021.30365,15.1192148
"Tarrant County (Southwest)--Fort Worth (Southwest) & Benbrook Cities PUMA, Texas",64140,68213.737,2147.29624,18.1978952
"Tarrant County (West)--Fort Worth City (West) PUMA, Texas",50346,70736.3731,2198.36444,13.2879275
"Tarrant County (Northwest)--Fort Worth (Northwest) & Saginaw Cities PUMA, Texas",52907,99504.2255,3624.07925,7.02721757
