Selected Geographies,Total,N/A (less than 3 years old),No schooling completed,"Nursery school, preschool",Kindergarten,Grade 1,Grade 2,Grade 3,Grade 4,Grade 5,Grade 6,Grade 7,Grade 8,Grade 9,Grade 10,Grade 11,12th grade - no diploma,Regular high school diploma,GED or alternative credential,"Some college, but less than 1 year","1 or more years of college credit, no degree",Associate's degree,Bachelor's degree,Master's degree,Professional degree beyond a bachelor's degree,Doctorate degree
"Middlesex (West Central) & Worcester (East) Counties PUMA, Massachusetts",125147,3027,3246,3059,1797,1511,1031,1682,1889,2148,2073,2664,2567,2219,1832,3091,1028,13205,1270,4010,8107,4390,28540,21142,4243,5376
"Middlesex (Far Southwest), Norfolk (Northwest) & Worcester (Far East) Counties PUMA; Massachusetts",130788,5520,4988,3480,1559,1263,2342,1812,1307,1748,1446,2903,2310,3336,3564,2708,1417,15786,624,4530,7570,6325,29383,18283,3962,2622
"Boston City--Allston, Brighton & Fenway PUMA; Massachusetts",126251,2366,1078,438,184,68,1219,584,1165,733,1834,275,589,527,516,1223,412,11572,1496,8799,26116,4796,37908,14456,3715,4182
"Boston City--Back Bay, Beacon Hill, Charlestown, East Boston, Central & South End PUMA; Massachusetts",166266,5365,7494,2430,2026,740,2506,1926,2221,2595,1587,1744,3537,3230,765,4570,316,15121,1936,3926,12814,3742,44777,24347,10342,6209
"Boston City--Dorchester & South Boston PUMA, Massachusetts",122536,4254,4842,992,1118,456,1216,1509,1086,1764,884,2086,2566,3296,2441,3137,2316,16152,3119,3363,11852,5051,30230,14440,2868,1498
"Boston City--Mattapan & Roxbury PUMA, Massachusetts",144322,5397,5198,2294,2212,2399,2380,1503,1981,2023,2963,2044,4922,3999,3069,5607,2634,26556,6517,5273,24571,6379,14092,7532,2015,762
"Boston City--Hyde Park, Jamaica Plain, Roslindale & West Roxbury PUMA; Massachusetts",136432,5719,5130,1559,2612,1368,1093,3024,1201,1681,2047,1645,3131,786,2318,2249,2164,18408,2531,3142,14303,5759,26318,19830,4784,3630
"Suffolk County (North)--Revere, Chelsea & Winthrop Town Cities PUMA; Massachusetts",112207,4324,7302,1807,1766,1207,1703,1569,2194,3637,2505,1447,3698,4190,2623,2710,1716,25547,2240,4506,9376,4163,15117,4501,2029,330
"Middlesex (Southeast) & Norfolk (Northeast) Counties--Newton City & Brookline Town PUMA, Massachusetts",148214,3588,2526,2584,2535,1912,2499,1952,1275,2245,2322,1112,980,1649,1765,1525,679,10754,897,4005,9774,2334,37213,26324,11749,14016
"Norfolk (Northeast) & Middlesex (Southeast) Counties (West of Boston City) PUMA, Massachusetts",116768,4405,2040,2491,1880,1477,1954,2529,1936,1374,1769,1943,2149,2217,1673,2957,1154,7102,1163,2699,7916,2868,24511,20626,9866,6069
"Norfolk County (Southwest)--Greater Franklin Town City PUMA, Massachusetts",133798,3793,3337,3093,1398,929,1649,2563,1382,2377,1514,1931,2358,1494,3139,4356,1056,16743,2819,5528,10512,7375,30379,17991,3533,2549
"Norfolk County (Central)--Randolph, Norwood, Dedham, Canton & Holbrook Towns PUMA; Massachusetts",122319,3671,4483,2352,889,971,999,553,1096,1163,2051,376,1578,1712,1640,2164,1869,16528,1752,6999,14311,9044,28034,13857,2865,1362
"Norfolk County (Northeast)--Quincy City & Milton Town PUMA, Massachusetts",122063,3948,3649,2179,1298,1103,1777,1014,978,2415,1806,1643,2833,1730,1180,2761,2333,17023,2395,3831,11792,8142,26237,15910,2437,1649
"Plymouth & Norfolk Counties--Brockton City, Stoughton & Avon Towns PUMA; Massachusetts",129047,5570,5103,1547,2258,1910,1836,2394,3289,1461,2206,3045,2829,3932,2565,3835,1954,27485,2316,4684,16849,8429,16093,6306,570,581
"Plymouth & Bristol Counties (Outside Brockton City) PUMA, Massachusetts",122872,2632,2507,2478,1514,1497,1369,1314,1835,1407,954,1775,1680,1379,3217,2810,747,31626,1906,6084,13437,9069,20694,8858,1227,856
"Plymouth County (Central) PUMA, Massachusetts",113474,3837,2580,2239,860,2364,1450,1599,1705,912,1098,1532,1567,2250,1660,2859,1273,22878,2185,4882,9870,10645,21466,9475,1750,538
"Plymouth County (East)--Plymouth, Marshfield, Scituate, Duxbury & Kingston Towns PUMA; Massachusetts",135367,2424,1586,2882,1774,1345,1420,1345,1614,1673,1840,2493,1366,2295,3469,1795,1592,23046,1784,4699,13541,8127,33255,14454,3227,2321
"Strafford Region--Strafford, Rockingham (Northern) & Carroll (Southeastern) Counties PUMA; New Hampshire",157110,5940,2487,3814,2199,1449,1290,1831,1131,1606,2071,1957,2955,3012,3706,2224,1990,28095,6932,9340,19721,11984,27086,11662,1187,1441
"Seacoast Region--Rockingham County (Southern)--Portsmouth City PUMA, New Hampshire",197974,4893,2905,3134,1613,2342,1746,1463,3424,2038,2595,3381,2250,3415,4009,2416,1173,35752,5506,9811,21244,15412,42273,19497,3796,1886
