Selected Geographies,Property taxes (yearly real estate taxes)
"Nassau County (South Central)--Hempstead Town (Southeast) PUMA, New York",8674.681616
"Nassau County (West Central)--Hempstead Town (West Central) PUMA, New York",8587.484513
"Nassau County (Southwest)--Hempstead Town (Southwest) & Long Beach City PUMA, New York",6561.871963
"Suffolk County (Northwest)--Huntington Town (North) PUMA, New York",9457.188456
"Suffolk County (Northwest)--Huntington Town (South) PUMA, New York",10489.64319
"Suffolk County (Northwest)--Smithtown Town PUMA, New York",9914.792348
"Suffolk County (North Central)--Brookhaven Town (North) PUMA, New York",8743.983393
"Suffolk County (East) PUMA, New York",3213.15389
"Suffolk County (South Central)--Brookhaven Town (South) PUMA, New York",5104.135808
"Suffolk County (Central)--Brookhaven Town (Central) PUMA, New York",6133.520853
"Suffolk County (Central)--Brookhaven Town (West Central) PUMA, New York",6483.200186
"Suffolk County (Central)--Islip Town (East) PUMA, New York",6061.925581
"Suffolk County (Central)--Islip Town (Northwest) PUMA, New York",5249.998538
"Suffolk County (Southwest)--Islip Town (South) PUMA, New York",8232.770153
"Suffolk County (Southwest)--Babylon Town (Southeast) PUMA, New York",7447.852023
"Suffolk County (West Central)--Babylon Town (Northwest) PUMA, New York",5974.574207
"NYC-Bronx Community District 8--Riverdale, Fieldston & Kingsbridge PUMA; New York",1063.511388
"NYC-Bronx Community District 12--Wakefield, Williamsbridge & Woodlawn PUMA; New York",1277.712866
"NYC-Bronx Community District 10--Co-op City, Pelham Bay & Schuylerville PUMA; New York",1422.504923
"NYC-Bronx Community District 11--Pelham Parkway, Morris Park & Laconia PUMA; New York",1432.626945
"NYC-Bronx Community District 3 & 6--Belmont, Crotona Park East & East Tremont PUMA; New York",216.8863665
"NYC-Bronx Community District 7--Bedford Park, Fordham North & Norwood PUMA; New York",231.7164455
"NYC-Bronx Community District 5--Morris Heights, Fordham South & Mount Hope PUMA; New York",83.3502784
"NYC-Bronx Community District 4--Concourse, Highbridge & Mount Eden PUMA; New York",154.1802265
"NYC-Bronx Community District 9--Castle Hill, Clason Point & Parkchester PUMA; New York",726.1304833
"NYC-Bronx Community District 1 & 2--Hunts Point, Longwood & Melrose PUMA; New York",235.9743289
"NYC-Manhattan Community District 12--Washington Heights, Inwood & Marble Hill PUMA; New York",281.8248205
"NYC-Manhattan Community District 9--Hamilton Heights, Manhattanville & West Harlem PUMA; New York",807.1557471
"NYC-Manhattan Community District 10--Central Harlem PUMA, New York",281.343297
"NYC-Manhattan Community District 11--East Harlem PUMA, New York",318.1497833
"NYC-Manhattan Community District 8--Upper East Side PUMA, New York",2874.887744
"NYC-Manhattan Community District 7--Upper West Side & West Side PUMA, New York",3183.83392
"NYC-Manhattan Community District 4 & 5--Chelsea, Clinton & Midtown Business District PUMA; New York",1594.717859
"NYC-Manhattan Community District 6--Murray Hill, Gramercy & Stuyvesant Town PUMA; New York",2148.129549
"NYC-Manhattan Community District 3--Chinatown & Lower East Side PUMA, New York",638.9020631
"NYC-Manhattan Community District 1 & 2--Battery Park City, Greenwich Village & Soho PUMA; New York",2368.864748
"NYC-Staten Island Community District 3--Tottenville, Great Kills & Annadale PUMA; New York",4217.492336
"NYC-Staten Island Community District 2--New Springville & South Beach PUMA, New York",3569.358064
"NYC-Staten Island Community District 1--Port Richmond, Stapleton & Mariner's Harbor PUMA; New York",1989.10168
"NYC-Brooklyn Community District 1--Greenpoint & Williamsburg PUMA, New York",567.997835
"NYC-Brooklyn Community District 4--Bushwick PUMA, New York",541.3295929
"NYC-Brooklyn Community District 3--Bedford-Stuyvesant PUMA, New York",786.3831399
"NYC-Brooklyn Community District 2--Brooklyn Heights & Fort Greene PUMA, New York",1609.415478
"NYC-Brooklyn Community District 6--Park Slope, Carroll Gardens & Red Hook PUMA; New York",2006.270117
"NYC-Brooklyn Community District 8--Crown Heights North & Prospect Heights PUMA, New York",765.6622969
"NYC-Brooklyn Community District 16--Brownsville & Ocean Hill PUMA, New York",430.4992584
"NYC-Brooklyn Community District 5--East New York & Starrett City PUMA, New York",801.948177
"NYC-Brooklyn Community District 18--Canarsie & Flatlands PUMA, New York",2621.017744
"NYC-Brooklyn Community District 17--East Flatbush, Farragut & Rugby PUMA; New York",1334.75144
"NYC-Brooklyn Community District 9--Crown Heights South, Prospect Lefferts & Wingate PUMA; New York",642.2437518
"NYC-Brooklyn Community District 7--Sunset Park & Windsor Terrace PUMA, New York",1145.995164
"NYC-Brooklyn Community District 10--Bay Ridge & Dyker Heights PUMA, New York",2500.739915
"NYC-Brooklyn Community District 12--Borough Park, Kensington & Ocean Parkway PUMA; New York",1964.756382
"NYC-Brooklyn Community District 14--Flatbush & Midwood PUMA, New York",1211.43239
"NYC-Brooklyn Community District 15--Sheepshead Bay, Gerritsen Beach & Homecrest PUMA; New York",2275.183174
"NYC-Brooklyn Community District 11--Bensonhurst & Bath Beach PUMA, New York",2181.43141
"NYC-Brooklyn Community District 13--Brighton Beach & Coney Island PUMA, New York",911.9284819
"NYC-Queens Community District 1--Astoria & Long Island City PUMA, New York",898.0100987
"NYC-Queens Community District 3--Jackson Heights & North Corona PUMA, New York",1217.862867
"NYC-Queens Community District 7--Flushing, Murray Hill & Whitestone PUMA; New York",2285.389303
"NYC-Queens Community District 11--Bayside, Douglaston & Little Neck PUMA; New York",4044.498414
"NYC-Queens Community District 13--Queens Village, Cambria Heights & Rosedale PUMA; New York",3311.463046
"NYC-Queens Community District 8--Briarwood, Fresh Meadows & Hillcrest PUMA; New York",2240.329506
"NYC-Queens Community District 4--Elmhurst & South Corona PUMA, New York",992.364349
"NYC-Queens Community District 6--Forest Hills & Rego Park PUMA, New York",1958.443051
"NYC-Queens Community District 2--Sunnyside & Woodside PUMA, New York",1184.095776
"NYC-Queens Community District 5--Ridgewood, Glendale & Middle Village PUMA; New York",1981.757877
"NYC-Queens Community District 9--Richmond Hill & Woodhaven PUMA, New York",1855.267614
"NYC-Queens Community District 12--Jamaica, Hollis & St. Albans PUMA; New York",1844.860984
"NYC-Queens Community District 10--Howard Beach & Ozone Park PUMA, New York",2894.175438
"NYC-Queens Community District 14--Far Rockaway, Breezy Point & Broad Channel PUMA; New York",1193.535179
"Pike, Wayne & Susquehanna Counties PUMA; Pennsylvania",1291.843254
